STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,siec,Standard international energy product classification (SIEC),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2014,,3657.915,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2015,,3615.414,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2016,,4111.803,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2017,,4188.714,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2018,,4230.078,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2019,,3908.080,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2020,,4009.674,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2021,,3972.128,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2022,,3875.392,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BA,Bosnia and Herzegovina,2023,,3490.078,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2013,,3563.085,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2014,,3476.418,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2015,,3425.180,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2016,,3165.661,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2017,,3069.947,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2018,,3080.495,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2019,,3050.644,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2020,,2364.790,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2021,,2603.804,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2022,,2737.497,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2023,,2347.441,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BE,Belgium,2024,,2629.434,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2013,,5946.623,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2014,,6357.280,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2015,,6607.404,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2016,,5698.588,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2017,,6122.761,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2018,,5492.404,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2019,,5077.459,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2020,,4160.132,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2021,,5273.979,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2022,,6277.994,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2023,,3714.662,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,BG,Bulgaria,2024,,3078.797,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2013,,0.124,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2014,,2.218,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2015,,3.679,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2016,,0.000,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2017,,2.980,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2018,,13.614,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2019,,17.199,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2020,,14.004,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2021,,40.105,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2022,,30.593,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2023,,27.393,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CY,Cyprus,2024,,12.694,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2013,,17276.269,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2014,,15972.076,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2015,,16394.610,,,,,
dataflow,ESTAT:TEN00122(1.0),Total energy supply by product,A,Annual,NRGSUP,Total energy supply,C0000X0350-0370,Solid fossil fuels,KTOE,Thousand tonnes of oil equivalent,CZ,Czechia,2016,,16553.885,,,,,
